StockPrice,StrikePrice,MarketPrice,ImpliedVolatility
70,70,5,0.126317
70,70,6,0.164384
70,70,7,0.201965
70,70,8,0.239334
70,70,9,0.27662
70,70,10,0.313894
70,70,11,0.351207
70,70,12,0.388587
70,70,13,0.426067
70,70,14,0.463667
70,70,15,0.501408
70,75,5,0.2112
70,75,6,0.247013
70,75,7,0.282834
70,75,8,0.318696
70,75,9,0.354628
70,75,10,0.390649
70,75,11,0.426779
70,75,12,0.463034
70,75,13,0.499431
70,75,14,0.535984
70,75,15,0.572711
70,80,5,0.272953
70,80,6,0.309327
70,80,7,0.345408
70,80,8,0.381323
70,80,9,0.417156
70,80,10,0.452968
70,80,11,0.488801
70,80,12,0.524698
70,80,13,0.560682
70,80,14,0.596786
70,80,15,0.633032
70,85,5,0.324078
70,85,6,0.361313
70,85,7,0.397977
70,85,8,0.434266
70,85,9,0.470315
70,85,10,0.506219
70,85,11,0.542049
70,85,12,0.57786
70,85,13,0.613698
70,85,14,0.649599
70,85,15,0.685601
70,90,5,0.368396
70,90,6,0.406502
70,90,7,0.443798
70,90,8,0.48054
70,90,9,0.516903
70,90,10,0.553008
70,90,11,0.588948
70,90,12,0.624795
70,90,13,0.660608
70,90,14,0.696432
70,90,15,0.73231
75,70,5,nan
75,70,6,nan
75,70,7,nan
75,70,8,0.0825353
75,70,9,0.14076
75,70,10,0.185205
75,70,11,0.226089
75,70,12,0.265351
75,70,13,0.30373
75,70,14,0.341593
75,70,15,0.379147
75,75,5,0.113416
75,75,6,0.14924
75,75,7,0.184464
75,75,8,0.21942
75,75,9,0.254253
75,75,10,0.289043
75,75,11,0.32384
75,75,12,0.358677
75,75,13,0.393579
75,75,14,0.428569
75,75,15,0.463667
75,80,5,0.19458
75,80,6,0.228006
75,80,7,0.261436
75,80,8,0.294902
75,80,9,0.328425
75,80,10,0.362019
75,80,11,0.395702
75,80,12,0.429487
75,80,13,0.463385
75,80,14,0.49741
75,80,15,0.531575
75,85,5,0.253284
75,85,6,0.287258
75,85,7,0.32096
75,85,8,0.3545
75,85,9,0.387956
75,85,10,0.421381
75,85,11,0.454814
75,85,12,0.488288
75,85,13,0.521827
75,85,14,0.555458
75,85,15,0.589197
75,90,5,0.301962
75,90,6,0.33679
75,90,7,0.371075
75,90,8,0.405005
75,90,9,0.438698
75,90,10,0.472243
75,90,11,0.505703
75,90,12,0.539128
75,90,13,0.57256
75,90,14,0.606029
75,90,15,0.639567
80,70,5,nan
80,70,6,nan
80,70,7,nan
80,70,8,nan
80,70,9,nan
80,70,10,nan
80,70,11,nan
80,70,12,nan
80,70,13,0.116407
80,70,14,0.184366
80,70,15,0.233091
80,75,5,nan
80,75,6,nan
80,75,7,nan
80,75,8,0.0574448
80,75,9,0.124568
80,75,10,0.167536
80,75,11,0.206366
80,75,12,0.243407
80,75,13,0.279488
80,75,14,0.315006
80,75,15,0.350181
80,80,5,0.101981
80,80,6,0.135905
80,80,7,0.169099
80,80,8,0.201965
80,80,9,0.23467
80,80,10,0.267301
80,80,11,0.299915
80,80,12,0.332543
80,80,13,0.365214
80,80,14,0.397947
80,80,15,0.43076
80,85,5,0.179965
80,85,6,0.211299
80,85,7,0.24264
80,85,8,0.274012
80,85,9,0.305431
80,85,10,0.33691
80,85,11,0.368462
80,85,12,0.400098
80,85,13,0.431827
80,85,14,0.463659
80,85,15,0.495605
80,90,5,0.235948
80,90,6,0.267815
80,90,7,0.299428
80,90,8,0.330889
80,90,9,0.362264
80,90,10,0.393604
80,90,11,0.42494
80,90,12,0.456304
80,90,13,0.487718
80,90,14,0.519199
80,90,15,0.550767
85,70,5,nan
85,70,6,nan
85,70,7,nan
85,70,8,nan
85,70,9,nan
85,70,10,nan
85,70,11,nan
85,70,12,nan
85,70,13,nan
85,70,14,nan
85,70,15,nan
85,75,5,nan
85,75,6,nan
85,75,7,nan
85,75,8,nan
85,75,9,nan
85,75,10,nan
85,75,11,nan
85,75,12,nan
85,75,13,0.0835917
85,75,14,0.164345
85,75,15,0.211867
85,80,5,nan
85,80,6,nan
85,80,7,nan
85,80,8,nan
85,80,9,0.10976
85,80,10,0.151806
85,80,11,0.18893
85,80,12,0.224065
85,80,13,0.25816
85,80,14,0.291645
85,80,15,0.324749
85,85,5,0.0917274
85,85,6,0.124051
85,85,7,0.155487
85,85,8,0.186526
85,85,9,0.217369
85,85,10,0.248111
85,85,11,0.278812
85,85,12,0.309508
85,85,13,0.340226
85,85,14,0.370986
85,85,15,0.401803
85,90,5,0.167004
85,90,6,0.196495
85,90,7,0.225995
85,90,8,0.25552
85,90,9,0.285087
85,90,10,0.314704
85,90,11,0.344382
85,90,12,0.37413
85,90,13,0.403956
85,90,14,0.433866
85,90,15,0.463872
90,70,5,nan
90,70,6,nan
90,70,7,nan
90,70,8,nan
90,70,9,nan
90,70,10,nan
90,70,11,nan
90,70,12,nan
90,70,13,nan
90,70,14,nan
90,70,15,nan
90,75,5,nan
90,75,6,nan
90,75,7,nan
90,75,8,nan
90,75,9,nan
90,75,10,nan
90,75,11,nan
90,75,12,nan
90,75,13,nan
90,75,14,nan
90,75,15,nan
90,80,5,nan
90,80,6,nan
90,80,7,nan
90,80,8,nan
90,80,9,nan
90,80,10,nan
90,80,11,nan
90,80,12,nan
90,80,13,nan
90,80,14,0.145951
90,80,15,0.192899
90,85,5,nan
90,85,6,nan
90,85,7,nan
90,85,8,nan
90,85,9,0.0958778
90,85,10,0.137643
90,85,11,0.173371
90,85,12,0.206871
90,85,13,0.239234
90,85,14,0.270938
90,85,15,0.30223
90,90,5,0.0824295
90,90,6,0.113416
90,90,7,0.143324
90,90,8,0.172764
90,90,9,0.201965
90,90,10,0.231041
90,90,11,0.260054
90,90,12,0.289043
90,90,13,0.318039
90,90,14,0.347058
90,90,15,0.376118
